epoch	scaling	#test	difAvg	0difAvg	accur	TP	TN	FP	FN	P	N	correct
note: difAvg error (squared) and 0-difAvg error (squared) are multiplied by 100
2	8192	253	0.3634	0.3652	1.0049	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	10240	257	0.2658	0.2667	1.0033	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	12288	255	0.3766	0.3778	1.0032	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	14336	274	0.3688	0.3701	1.0036	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	16384	274	0.4827	0.4838	1.0022	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	20480	243	0.1499	0.1503	1.0028	99.5885	0.0	0.4115	0.0	99.5885	0.4115	99.5885
2	24576	279	0.4397	0.4409	1.0026	99.6416	0.0	0.3584	0.0	99.6416	0.3584	99.6416
2	28672	275	0.2493	0.2497	1.0016	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	32768	273	0.4436	0.4441	1.0011	99.6337	0.0	0.3663	0.0	99.6337	0.3663	99.6337
2	40960	253	0.3669	0.3672	1.0006	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	2147483647	273	0.3639	0.3639	1.0	99.2674	0.0	0.7326	0.0	99.2674	0.7326	99.2674
